"Diagnóstico Detalhado";" 0 a 19 anos";" 20 a 24 anos";" 25 a 29 anos";" 30 a 34 anos";" 35 a 39 anos";" 40 a 44 anos";" 45 a 49 anos";" 50 a 54 anos";" 55 a 59 anos";" 60 a 64 anos";" 65 a 69 anos";" 70 a 74 anos";" 75 a 79 anos";" 80 anos e mais";"Ignorado";" Total"
"C00 - Neoplasia maligna do lábio";"31";"13";"11";"28";"39";"49";"87";"138";"192";"202";"220";"197";"132";"195";"0";"1534"
"C01 - Neoplasia maligna da base da língua";"7";"5";"11";"16";"28";"62";"147";"217";"321";"277";"216";"142";"89";"46";"0";"1584"
"C02 - Neoplasia maligna de outras partes e de partes não especificadas da língua";"24";"14";"22";"30";"76";"116";"241";"325";"441";"418";"348";"251";"157";"124";"0";"2587"
"C03 - Neoplasia maligna da gengiva";"4";"3";"6";"7";"8";"21";"14";"26";"42";"62";"50";"43";"24";"42";"0";"352"
"C04 - Neoplasia maligna do assoalho da boca";"8";"1";"8";"19";"29";"65";"104";"186";"297";"300";"228";"142";"87";"72";"0";"1546"
"C05 - Neoplasia maligna do palato";"9";"7";"4";"18";"28";"36";"75";"120";"156";"173";"149";"89";"50";"58";"0";"972"
"C06 - Neoplasia maligna de outras partes e de partes não especificadas da boca";"64";"36";"28";"50";"74";"117";"160";"311";"362";"369";"338";"248";"153";"162";"0";"2472"
"C07 - Neoplasia maligna da glândula parótida";"35";"23";"30";"52";"65";"77";"104";"140";"164";"175";"148";"145";"119";"145";"0";"1422"
"C08 - Neoplasia maligna de outras glândulas salivares maiores e as não especificadas";"18";"18";"32";"37";"29";"39";"62";"78";"73";"73";"55";"49";"29";"34";"0";"626"
"C09 - Neoplasia maligna da amígdala";"12";"4";"3";"3";"20";"38";"76";"124";"131";"132";"89";"55";"28";"14";"0";"729"
"C10 - Neoplasia maligna da orofaringe";"16";"8";"18";"36";"93";"196";"421";"640";"847";"890";"649";"376";"224";"152";"0";"4566"
"C11 - Neoplasia maligna da nasofaringe";"49";"29";"31";"31";"67";"64";"93";"140";"144";"140";"132";"77";"44";"39";"0";"1080"
"C12 - Neoplasia maligna do seio piriforme";"0";"0";"1";"1";"4";"11";"26";"44";"70";"67";"67";"42";"21";"12";"0";"366"
"C13 - Neoplasia maligna da hipofaringe";"2";"1";"7";"4";"22";"43";"89";"164";"233";"262";"207";"134";"82";"43";"0";"1293"
"C14 - Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade o";"6";"3";"7";"4";"11";"32";"57";"111";"146";"142";"109";"65";"38";"37";"0";"768"
"C15 - Neoplasia maligna do esôfago";"68";"58";"72";"85";"155";"255";"527";"892";"1243";"1319";"1092";"850";"552";"466";"0";"7634"
"C16 - Neoplasia maligna do estômago";"167";"152";"232";"434";"598";"796";"1053";"1509";"2008";"2206";"2192";"1763";"1272";"986";"0";"15368"
"C17 - Neoplasia maligna do intestino delgado";"69";"36";"46";"69";"74";"106";"156";"159";"209";"247";"218";"176";"104";"101";"0";"1770"
"C18 - Neoplasia maligna do cólon";"764";"404";"370";"505";"728";"986";"1386";"2120";"2612";"3139";"2959";"2413";"1695";"1296";"0";"21377"
"C19 - Neoplasia maligna da junção retossigmóide";"5";"4";"13";"33";"74";"89";"148";"241";"295";"366";"305";"253";"181";"143";"0";"2150"
"C20 - Neoplasia maligna do reto";"25";"34";"87";"161";"276";"453";"688";"1113";"1383";"1666";"1546";"1239";"891";"874";"0";"10436"
"C21 - Neoplasia maligna do ânus e do canal anal";"12";"21";"39";"52";"82";"118";"204";"292";"321";"355";"316";"230";"159";"155";"0";"2356"
"C22 - Neoplasia maligna do fígado e das vias biliares intra-hepáticas";"102";"33";"43";"62";"99";"169";"223";"319";"442";"484";"494";"392";"248";"156";"1";"3267"
"C23 - Neoplasia maligna da vesícula biliar";"11";"26";"36";"59";"68";"81";"103";"122";"163";"191";"174";"122";"108";"47";"0";"1311"
"C24 - Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares";"6";"1";"8";"10";"32";"54";"67";"105";"154";"194";"189";"158";"94";"71";"0";"1143"
"C25 - Neoplasia maligna do pâncreas";"52";"30";"36";"61";"79";"155";"271";"432";"635";"681";"673";"459";"379";"179";"0";"4122"
"C26 - Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho dig";"65";"39";"30";"45";"61";"84";"80";"119";"107";"144";"111";"80";"61";"41";"0";"1067"
"C30 - Neoplasia maligna da cavidade nasal e do ouvido médio";"13";"6";"8";"10";"14";"31";"26";"40";"47";"54";"55";"48";"34";"43";"0";"429"
"C31 - Neoplasia maligna dos seios da face";"31";"13";"17";"23";"28";"51";"65";"101";"88";"118";"118";"83";"57";"84";"0";"877"
"C32 - Neoplasia maligna da laringe";"17";"5";"12";"33";"74";"156";"317";"640";"977";"1048";"949";"659";"443";"302";"0";"5632"
"C33 - Neoplasia maligna da traquéia";"7";"10";"8";"9";"7";"20";"16";"28";"31";"17";"14";"13";"12";"3";"0";"195"
