"Diagnóstico Detalhado";" 0 a 19 anos";" 20 a 24 anos";" 25 a 29 anos";" 30 a 34 anos";" 35 a 39 anos";" 40 a 44 anos";" 45 a 49 anos";" 50 a 54 anos";" 55 a 59 anos";" 60 a 64 anos";" 65 a 69 anos";" 70 a 74 anos";" 75 a 79 anos";" 80 anos e mais";"Ignorado";" Total"
"C00 - Neoplasia maligna do lábio";"14";"0";"4";"8";"9";"37";"40";"67";"86";"91";"105";"90";"75";"97";"0";"723"
"C01 - Neoplasia maligna da base da língua";"5";"1";"9";"11";"27";"76";"144";"244";"301";"270";"186";"120";"77";"77";"0";"1548"
"C02 - Neoplasia maligna de outras partes e de partes não especificadas da língua";"7";"7";"12";"26";"49";"99";"167";"290";"407";"369";"300";"155";"108";"107";"0";"2103"
"C03 - Neoplasia maligna da gengiva";"3";"3";"2";"0";"3";"9";"14";"33";"29";"32";"39";"27";"27";"21";"0";"242"
"C04 - Neoplasia maligna do assoalho da boca";"4";"6";"5";"7";"22";"52";"111";"189";"218";"206";"187";"96";"65";"68";"0";"1236"
"C05 - Neoplasia maligna do palato";"3";"3";"6";"9";"14";"34";"54";"117";"160";"145";"121";"57";"48";"62";"0";"833"
"C06 - Neoplasia maligna de outras partes e de partes não especificadas da boca";"13";"9";"9";"21";"25";"61";"119";"204";"248";"259";"184";"138";"83";"87";"0";"1460"
"C07 - Neoplasia maligna da glândula parótida";"30";"18";"29";"23";"48";"63";"75";"107";"106";"134";"138";"120";"76";"107";"0";"1074"
"C08 - Neoplasia maligna de outras glândulas salivares maiores e as não especificadas";"10";"8";"16";"10";"13";"29";"25";"34";"44";"54";"29";"24";"21";"18";"0";"335"
"C09 - Neoplasia maligna da amígdala";"3";"1";"1";"6";"15";"33";"76";"109";"120";"111";"81";"42";"29";"14";"0";"641"
"C10 - Neoplasia maligna da orofaringe";"10";"7";"18";"24";"81";"171";"363";"623";"791";"724";"548";"329";"162";"130";"0";"3981"
"C11 - Neoplasia maligna da nasofaringe";"42";"31";"23";"15";"46";"57";"91";"122";"130";"128";"111";"61";"42";"21";"0";"920"
"C12 - Neoplasia maligna do seio piriforme";"1";"0";"1";"3";"1";"9";"22";"47";"55";"62";"35";"30";"13";"9";"0";"288"
"C13 - Neoplasia maligna da hipofaringe";"1";"0";"0";"5";"19";"45";"92";"187";"235";"235";"173";"113";"56";"51";"0";"1212"
"C14 - Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade o";"1";"1";"2";"2";"10";"28";"48";"74";"114";"113";"65";"56";"33";"22";"0";"569"
"C15 - Neoplasia maligna do esôfago";"11";"6";"11";"17";"48";"172";"374";"668";"977";"1005";"939";"675";"449";"340";"0";"5692"
"C16 - Neoplasia maligna do estômago";"23";"31";"93";"154";"246";"422";"623";"906";"1142";"1402";"1361";"1218";"823";"602";"0";"9046"
"C17 - Neoplasia maligna do intestino delgado";"27";"18";"22";"37";"33";"50";"62";"101";"136";"128";"113";"113";"59";"37";"0";"936"
"C18 - Neoplasia maligna do cólon";"315";"166";"212";"298";"508";"701";"1126";"1610";"1906";"2187";"2179";"1619";"1192";"918";"0";"14937"
"C19 - Neoplasia maligna da junção retossigmóide";"4";"7";"6";"25";"40";"66";"81";"166";"185";"241";"241";"182";"112";"88";"0";"1444"
"C20 - Neoplasia maligna do reto";"7";"33";"67";"125";"272";"387";"607";"896";"1129";"1266";"1237";"1028";"735";"639";"0";"8428"
"C21 - Neoplasia maligna do ânus e do canal anal";"2";"4";"10";"18";"46";"83";"130";"155";"211";"241";"212";"160";"117";"100";"0";"1489"
"C22 - Neoplasia maligna do fígado e das vias biliares intra-hepáticas";"66";"11";"21";"38";"40";"74";"133";"183";"313";"303";"333";"203";"147";"78";"0";"1943"
"C23 - Neoplasia maligna da vesícula biliar";"9";"14";"38";"27";"45";"49";"78";"94";"139";"119";"131";"109";"52";"42";"0";"946"
"C24 - Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares";"3";"2";"4";"8";"17";"28";"57";"69";"128";"136";"97";"109";"55";"40";"0";"753"
"C25 - Neoplasia maligna do pâncreas";"21";"15";"19";"33";"70";"119";"199";"305";"456";"591";"535";"404";"251";"103";"0";"3121"
"C26 - Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho dig";"11";"7";"11";"11";"19";"20";"26";"45";"46";"76";"47";"26";"33";"21";"0";"399"
"C30 - Neoplasia maligna da cavidade nasal e do ouvido médio";"7";"2";"2";"7";"11";"9";"17";"28";"21";"33";"29";"23";"16";"15";"0";"220"
"C31 - Neoplasia maligna dos seios da face";"24";"5";"11";"22";"19";"31";"40";"82";"73";"79";"66";"61";"43";"50";"0";"606"
"C32 - Neoplasia maligna da laringe";"10";"4";"7";"31";"46";"128";"307";"620";"860";"1016";"815";"551";"363";"251";"0";"5009"
"C33 - Neoplasia maligna da traquéia";"3";"0";"0";"1";"2";"3";"5";"4";"3";"9";"9";"1";"1";"0";"0";"41"
"C34 - Neoplasia maligna dos brônquios e dos pulmões";"62";"30";"63";"84";"134";"214";"454";"951";"1637";"2117";"2157";"1611";"965";"584";"0";"11063"
"C37 - Neoplasia maligna do timo";"1";"6";"3";"6";"15";"7";"11";"21";"18";"14";"12";"9";"6";"4";"0";"133"
"C38 - Neoplasia maligna do coração, mediastino e pleura";"68";"27";"48";"38";"42";"35";"54";"68";"86";"83";"65";"54";"29";"32";"0";"729"
"C39 - Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respirat";"5";"1";"1";"3";"1";"2";"4";"6";"9";"15";"10";"11";"5";"6";"0";"79"
"C40 - Neoplasia maligna dos ossos e cartilagens articulares dos membros";"496";"125";"96";"92";"124";"122";"114";"137";"182";"140";"156";"118";"60";"71";"0";"2033"
"C41 - Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localiz";"183";"50";"45";"51";"61";"74";"98";"120";"169";"158";"136";"103";"57";"60";"0";"1365"
"C43 - Melanoma maligno da pele";"45";"51";"68";"96";"149";"200";"251";"346";"423";"436";"464";"405";"350";"417";"0";"3701"
"C44 - Outras neoplasias malignas da pele";"174";"133";"199";"287";"532";"806";"1328";"2105";"2790";"3386";"3907";"3969";"3714";"5744";"0";"29074"
"C45 - Mesotelioma";"1";"0";"0";"0";"3";"1";"2";"4";"3";"7";"6";"1";"1";"2";"0";"31"
"C46 - Sarcoma de Kaposi";"11";"7";"31";"17";"29";"17";"18";"18";"15";"16";"9";"20";"10";"10";"0";"228"
"C47 - Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo";"27";"2";"2";"3";"3";"7";"2";"5";"8";"3";"0";"1";"2";"1";"0";"66"
"C48 - Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio";"85";"27";"25";"51";"46";"73";"93";"133";"135";"154";"113";"111";"55";"35";"0";"1136"
"C49 - Neoplasia maligna do tecido conjuntivo e de outros tecidos moles";"454";"199";"237";"246";"331";"403";"549";"802";"899";"1054";"1009";"961";"821";"1106";"0";"9071"
"C50 - Neoplasia maligna da mama";"169";"223";"557";"1302";"2752";"4131";"5516";"6190";"5872";"5549";"4595";"3199";"2177";"2186";"0";"44418"
"C51 - Neoplasia maligna da vulva";"4";"5";"5";"12";"21";"34";"39";"63";"85";"91";"95";"99";"86";"99";"0";"738"
"C52 - Neoplasia maligna da vagina";"5";"0";"3";"10";"18";"36";"37";"46";"34";"42";"47";"31";"29";"30";"0";"368"
"C53 - Neoplasia maligna do colo do útero";"24";"210";"644";"1235";"1870";"1928";"1722";"1611";"1510";"1356";"1043";"775";"486";"412";"0";"14826"
"C54 - Neoplasia maligna do corpo do útero";"1";"13";"37";"79";"158";"225";"312";"485";"793";"917";"806";"566";"307";"220";"0";"4919"
"C55 - Neoplasia maligna do útero, porção não especificada";"3";"3";"18";"23";"36";"55";"63";"51";"66";"71";"50";"32";"21";"11";"0";"503"
"C56 - Neoplasia maligna do ovário";"154";"130";"154";"240";"336";"451";"557";"630";"687";"671";"524";"381";"189";"143";"0";"5247"
"C57 - Neoplasia maligna de outros órgãos genitais femininos e dos não especificados";"29";"27";"37";"56";"124";"176";"180";"115";"52";"52";"56";"29";"19";"12";"0";"964"
"C58 - Neoplasia maligna da placenta";"33";"57";"49";"39";"37";"19";"11";"8";"0";"0";"0";"0";"0";"0";"0";"253"
"C60 - Neoplasia maligna do pênis";"3";"7";"11";"18";"29";"48";"69";"92";"106";"102";"106";"91";"57";"75";"0";"814"
"C61 - Neoplasia maligna da próstata";"3";"1";"3";"1";"7";"72";"353";"1354";"3266";"6190";"8283";"7734";"5708";"3618";"0";"36593"
"C62 - Neoplasia maligna dos testículos";"128";"265";"330";"251";"198";"117";"71";"54";"38";"32";"39";"31";"19";"25";"0";"1598"
"C63 - Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados";"4";"4";"2";"1";"1";"0";"3";"0";"7";"10";"13";"9";"6";"3";"0";"63"
"C64 - Neoplasia maligna do rim, exceto pelve renal";"272";"23";"17";"53";"77";"135";"198";"306";"383";"513";"459";"360";"206";"111";"0";"3113"
"C65 - Neoplasia maligna da pelve renal";"10";"4";"1";"5";"3";"11";"17";"24";"36";"50";"38";"35";"23";"24";"0";"281"
"C66 - Neoplasia maligna dos ureteres";"2";"0";"0";"2";"2";"3";"2";"6";"11";"21";"19";"17";"8";"12";"0";"105"
"C67 - Neoplasia maligna da bexiga";"11";"7";"20";"27";"55";"96";"159";"320";"613";"917";"1051";"1010";"849";"886";"0";"6021"
"C68 - Neoplasia maligna de outros órgãos urinários e dos não especificados";"0";"1";"0";"1";"1";"2";"2";"6";"2";"11";"6";"6";"2";"1";"0";"41"
"C69 - Neoplasia maligna do olho e anexos";"139";"6";"7";"12";"20";"22";"27";"27";"43";"40";"40";"37";"34";"51";"0";"505"
"C70 - Neoplasia maligna das meninges";"16";"5";"4";"8";"10";"16";"16";"20";"27";"25";"17";"8";"6";"4";"0";"182"
"C71 - Neoplasia maligna do encéfalo";"674";"137";"161";"179";"291";"308";"311";"467";"518";"444";"400";"239";"145";"51";"0";"4325"
"C72 - Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nerv";"131";"37";"43";"39";"55";"63";"71";"99";"97";"80";"67";"37";"26";"4";"0";"849"
"C73 - Neoplasia maligna da glândula tireóide";"94";"157";"240";"335";"461";"452";"504";"536";"448";"398";"332";"218";"134";"58";"0";"4367"
"C74 - Neoplasia maligna da glândula supra-renal [glândula adrenal]";"173";"3";"3";"8";"16";"12";"16";"17";"22";"15";"20";"12";"7";"1";"0";"325"
"C75 - Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas";"19";"7";"6";"12";"18";"22";"22";"26";"25";"18";"20";"12";"5";"4";"0";"216"
"C76 - Neoplasia maligna de outras localizações e de localizações mal definidas";"93";"18";"25";"26";"29";"46";"65";"112";"132";"138";"143";"90";"52";"98";"0";"1067"
"C77 - Neoplasia maligna secundária e não especificada dos gânglios linfáticos";"262";"143";"180";"232";"317";"358";"484";"652";"772";"722";"629";"466";"300";"303";"0";"5820"
"C78 - Neoplasia maligna secundária dos órgãos respiratórios e digestivos";"95";"41";"52";"66";"109";"122";"166";"208";"292";"321";"274";"186";"125";"68";"0";"2125"
