"Diagnóstico Detalhado";"CIRURGIA";"QUIMIOTERAPIA";"RADIOTERAPIA";"AMBOS";"Sem informação de tratamento";" Total"
"C00 - Neoplasia maligna do lábio";"609";"7";"147";"0";"563";"1326"
"C01 - Neoplasia maligna da base da língua";"240";"596";"285";"22";"411";"1554"
"C02 - Neoplasia maligna de outras partes e de partes não especificadas da língua";"449";"636";"801";"45";"1029";"2960"
"C03 - Neoplasia maligna da gengiva";"84";"54";"72";"0";"120";"330"
"C04 - Neoplasia maligna do assoalho da boca";"192";"263";"363";"14";"663";"1495"
"C05 - Neoplasia maligna do palato";"110";"263";"244";"9";"357";"983"
"C06 - Neoplasia maligna de outras partes e de partes não especificadas da boca";"304";"423";"496";"13";"1630";"2866"
"C07 - Neoplasia maligna da glândula parótida";"600";"76";"451";"4";"390";"1521"
"C08 - Neoplasia maligna de outras glândulas salivares maiores e as não especificadas";"154";"75";"154";"1";"176";"560"
"C09 - Neoplasia maligna da amígdala";"29";"315";"162";"12";"219";"737"
"C10 - Neoplasia maligna da orofaringe";"538";"1812";"1716";"138";"592";"4796"
"C11 - Neoplasia maligna da nasofaringe";"181";"516";"212";"11";"618";"1538"
"C12 - Neoplasia maligna do seio piriforme";"24";"65";"81";"3";"45";"218"
"C13 - Neoplasia maligna da hipofaringe";"135";"502";"418";"18";"143";"1216"
"C14 - Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade o";"85";"324";"218";"8";"271";"906"
"C15 - Neoplasia maligna do esôfago";"311";"2595";"1863";"317";"2378";"7464"
"C16 - Neoplasia maligna do estômago";"1985";"5801";"464";"10";"12952";"21212"
"C17 - Neoplasia maligna do intestino delgado";"469";"153";"18";"0";"1443";"2083"
"C18 - Neoplasia maligna do cólon";"7382";"8889";"49";"0";"8630";"24950"
"C19 - Neoplasia maligna da junção retossigmóide";"623";"469";"30";"0";"1195";"2317"
"C20 - Neoplasia maligna do reto";"1376";"4690";"2149";"492";"2941";"11648"
"C21 - Neoplasia maligna do ânus e do canal anal";"331";"608";"656";"121";"861";"2577"
"C22 - Neoplasia maligna do fígado e das vias biliares intra-hepáticas";"993";"920";"26";"1";"1590";"3530"
"C23 - Neoplasia maligna da vesícula biliar";"502";"441";"21";"0";"266";"1230"
"C24 - Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares";"277";"444";"24";"1";"647";"1393"
"C25 - Neoplasia maligna do pâncreas";"838";"2220";"57";"4";"1221";"4340"
"C26 - Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho dig";"114";"73";"16";"0";"1655";"1858"
"C30 - Neoplasia maligna da cavidade nasal e do ouvido médio";"59";"4";"152";"0";"217";"432"
"C31 - Neoplasia maligna dos seios da face";"265";"142";"178";"3";"256";"844"
"C32 - Neoplasia maligna da laringe";"2109";"977";"1309";"89";"836";"5320"
"C33 - Neoplasia maligna da traquéia";"7";"0";"13";"0";"36";"56"
