"Diagnóstico Detalhado";"CIRURGIA";"QUIMIOTERAPIA";"RADIOTERAPIA";"AMBOS";"Sem informação de tratamento";" Total"
"C00 - Neoplasia maligna do lábio";"636";"9";"154";"0";"628";"1427"
"C01 - Neoplasia maligna da base da língua";"241";"603";"355";"22";"258";"1479"
"C02 - Neoplasia maligna de outras partes e de partes não especificadas da língua";"425";"620";"759";"38";"806";"2648"
"C03 - Neoplasia maligna da gengiva";"84";"69";"68";"1";"117";"339"
"C04 - Neoplasia maligna do assoalho da boca";"219";"272";"379";"14";"676";"1560"
"C05 - Neoplasia maligna do palato";"103";"279";"227";"13";"246";"868"
"C06 - Neoplasia maligna de outras partes e de partes não especificadas da boca";"260";"435";"427";"6";"1128";"2256"
"C07 - Neoplasia maligna da glândula parótida";"443";"85";"374";"9";"292";"1203"
"C08 - Neoplasia maligna de outras glândulas salivares maiores e as não especificadas";"133";"79";"137";"4";"143";"496"
"C09 - Neoplasia maligna da amígdala";"21";"310";"200";"9";"150";"690"
"C10 - Neoplasia maligna da orofaringe";"468";"1765";"1710";"140";"635";"4718"
"C11 - Neoplasia maligna da nasofaringe";"175";"527";"230";"16";"146";"1094"
"C12 - Neoplasia maligna do seio piriforme";"49";"113";"97";"5";"77";"341"
"C13 - Neoplasia maligna da hipofaringe";"113";"493";"451";"29";"154";"1240"
"C14 - Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade o";"63";"293";"198";"2";"234";"790"
"C15 - Neoplasia maligna do esôfago";"315";"2682";"1759";"373";"2615";"7744"
"C16 - Neoplasia maligna do estômago";"1895";"5354";"395";"7";"8973";"16624"
"C17 - Neoplasia maligna do intestino delgado";"420";"150";"26";"0";"1265";"1861"
"C18 - Neoplasia maligna do cólon";"6883";"7946";"44";"0";"6894";"21767"
"C19 - Neoplasia maligna da junção retossigmóide";"640";"364";"35";"0";"1115";"2154"
"C20 - Neoplasia maligna do reto";"1237";"4253";"1940";"452";"2502";"10384"
"C21 - Neoplasia maligna do ânus e do canal anal";"239";"557";"496";"100";"686";"2078"
"C22 - Neoplasia maligna do fígado e das vias biliares intra-hepáticas";"1095";"778";"29";"1";"1388";"3291"
"C23 - Neoplasia maligna da vesícula biliar";"534";"373";"23";"1";"229";"1160"
"C24 - Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares";"319";"421";"32";"0";"423";"1195"
"C25 - Neoplasia maligna do pâncreas";"836";"2138";"53";"2";"1191";"4220"
"C26 - Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho dig";"105";"59";"17";"0";"634";"815"
"C30 - Neoplasia maligna da cavidade nasal e do ouvido médio";"50";"1";"147";"0";"167";"365"
"C31 - Neoplasia maligna dos seios da face";"252";"137";"187";"6";"226";"808"
"C32 - Neoplasia maligna da laringe";"2140";"972";"1280";"97";"869";"5358"
"C33 - Neoplasia maligna da traquéia";"11";"0";"13";"0";"33";"57"
"C34 - Neoplasia maligna dos brônquios e dos pulmões";"1867";"6481";"1109";"97";"3146";"12700"
"C37 - Neoplasia maligna do timo";"40";"61";"28";"0";"16";"145"
"C38 - Neoplasia maligna do coração, mediastino e pleura";"517";"56";"47";"0";"655";"1275"
"C39 - Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respirat";"34";"0";"4";"0";"94";"132"
"C40 - Neoplasia maligna dos ossos e cartilagens articulares dos membros";"851";"401";"89";"0";"797";"2138"
"C41 - Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localiz";"366";"240";"291";"0";"860";"1757"
"C43 - Melanoma maligno da pele";"1838";"869";"192";"0";"2103";"5002"
"C44 - Outras neoplasias malignas da pele";"12155";"11";"2332";"0";"32685";"47183"
"C45 - Mesotelioma";"5";"0";"5";"0";"36";"46"
"C46 - Sarcoma de Kaposi";"4";"152";"27";"0";"93";"276"
"C47 - Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo";"7";"24";"17";"0";"57";"105"
"C48 - Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio";"818";"161";"10";"0";"696";"1685"
"C49 - Neoplasia maligna do tecido conjuntivo e de outros tecidos moles";"3395";"1348";"624";"1";"4433";"9801"
"C50 - Neoplasia maligna da mama";"6876";"30321";"2085";"44";"9829";"49155"
"C51 - Neoplasia maligna da vulva";"437";"161";"199";"16";"367";"1180"
"C52 - Neoplasia maligna da vagina";"152";"1";"141";"0";"257";"551"
"C53 - Neoplasia maligna do colo do útero";"3972";"3891";"4848";"763";"4568";"18042"
"C54 - Neoplasia maligna do corpo do útero";"2392";"976";"1328";"14";"1646";"6356"
"C55 - Neoplasia maligna do útero, porção não especificada";"520";"0";"9";"0";"361";"890"
"C56 - Neoplasia maligna do ovário";"2810";"2247";"13";"0";"1506";"6576"
"C57 - Neoplasia maligna de outros órgãos genitais femininos e dos não especificados";"407";"52";"3";"0";"730";"1192"
"C58 - Neoplasia maligna da placenta";"0";"252";"0";"0";"56";"308"
"C60 - Neoplasia maligna do pênis";"562";"131";"36";"2";"310";"1041"
"C61 - Neoplasia maligna da próstata";"6554";"14827";"3875";"84";"7722";"33062"
"C62 - Neoplasia maligna dos testículos";"1065";"624";"4";"0";"176";"1869"
"C63 - Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados";"7";"0";"0";"0";"114";"121"
"C64 - Neoplasia maligna do rim, exceto pelve renal";"2237";"553";"60";"0";"1241";"4091"
"C65 - Neoplasia maligna da pelve renal";"256";"61";"5";"0";"170";"492"
"C66 - Neoplasia maligna dos ureteres";"78";"30";"5";"0";"96";"209"
"C67 - Neoplasia maligna da bexiga";"4676";"978";"125";"8";"1237";"7024"
"C68 - Neoplasia maligna de outros órgãos urinários e dos não especificados";"5";"16";"19";"0";"43";"83"
"C69 - Neoplasia maligna do olho e anexos";"340";"78";"77";"0";"542";"1037"
"C70 - Neoplasia maligna das meninges";"57";"0";"33";"0";"137";"227"
"C71 - Neoplasia maligna do encéfalo";"1265";"537";"1436";"55";"1688";"4981"
"C72 - Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nerv";"249";"250";"220";"4";"630";"1353"
"C73 - Neoplasia maligna da glândula tireóide";"3418";"55";"93";"0";"2966";"6532"
"C74 - Neoplasia maligna da glândula supra-renal [glândula adrenal]";"131";"145";"16";"0";"128";"420"
"C75 - Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas";"71";"45";"37";"0";"209";"362"
"C76 - Neoplasia maligna de outras localizações e de localizações mal definidas";"264";"421";"70";"0";"6051";"6806"
"C77 - Neoplasia maligna secundária e não especificada dos gânglios linfáticos";"6115";"0";"1528";"0";"1970";"9613"
"C78 - Neoplasia maligna secundária dos órgãos respiratórios e digestivos";"1805";"0";"313";"0";"1200";"3318"
"C79 - Neoplasia maligna secundária de outras localizações";"844";"774";"11720";"3";"1753";"15094"
"C80 - Neoplasia maligna, sem especificação de localização";"154";"2005";"0";"0";"17930";"20089"
"C81 - Doença de Hodgkin";"90";"1748";"127";"1";"285";"2251"
"C82 - Linfoma não-Hodgkin, folicular (nodular)";"19";"856";"85";"0";"209";"1169"
"C83 - Linfoma não-Hodgkin difuso";"58";"3756";"156";"1";"493";"4464"
"C84 - Linfomas de células T cutâneas e periféricas";"12";"313";"31";"0";"282";"638"
"C85 - Linfoma não-Hodgkin de outros tipos e de tipo não especificado";"66";"479";"174";"0";"663";"1382"
"C88 - Doenças imunoproliferativas malignas";"2";"133";"10";"0";"3134";"3279"
"C90 - Mieloma múltiplo e neoplasias malignas de plasmócitos";"13";"2596";"257";"11";"522";"3399"
"C91 - Leucemia linfóide";"14";"2210";"47";"0";"776";"3047"
"C92 - Leucemia mielóide";"4";"2894";"29";"0";"413";"3340"
"C93 - Leucemia monocítica";"0";"33";"1";"0";"11";"45"
"C94 - Outras leucemias de células de tipo especificado";"3";"19";"8";"0";"124";"154"
"C95 - Leucemia de tipo celular não especificado";"3";"28";"11";"0";"205";"247"
