"Diagnóstico Detalhado";"CIRURGIA";"QUIMIOTERAPIA";"RADIOTERAPIA";"AMBOS";"Sem informação de tratamento";" Total"
"C00 - Neoplasia maligna do lábio";"411";"11";"125";"0";"176";"723"
"C01 - Neoplasia maligna da base da língua";"211";"743";"382";"21";"191";"1548"
"C02 - Neoplasia maligna de outras partes e de partes não especificadas da língua";"317";"572";"838";"32";"344";"2103"
"C03 - Neoplasia maligna da gengiva";"47";"69";"70";"2";"54";"242"
"C04 - Neoplasia maligna do assoalho da boca";"214";"238";"376";"14";"394";"1236"
"C05 - Neoplasia maligna do palato";"65";"330";"314";"10";"114";"833"
"C06 - Neoplasia maligna de outras partes e de partes não especificadas da boca";"158";"389";"530";"9";"374";"1460"
"C07 - Neoplasia maligna da glândula parótida";"436";"70";"368";"5";"195";"1074"
"C08 - Neoplasia maligna de outras glândulas salivares maiores e as não especificadas";"103";"61";"108";"0";"63";"335"
"C09 - Neoplasia maligna da amígdala";"20";"326";"219";"17";"59";"641"
"C10 - Neoplasia maligna da orofaringe";"413";"1512";"1694";"98";"264";"3981"
"C11 - Neoplasia maligna da nasofaringe";"116";"449";"289";"11";"55";"920"
"C12 - Neoplasia maligna do seio piriforme";"21";"140";"106";"4";"17";"288"
"C13 - Neoplasia maligna da hipofaringe";"97";"555";"459";"28";"73";"1212"
"C14 - Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade o";"30";"286";"189";"2";"62";"569"
"C15 - Neoplasia maligna do esôfago";"255";"2565";"1844";"299";"729";"5692"
"C16 - Neoplasia maligna do estômago";"1853";"5056";"458";"17";"1662";"9046"
"C17 - Neoplasia maligna do intestino delgado";"292";"164";"17";"0";"463";"936"
"C18 - Neoplasia maligna do cólon";"5502";"7209";"63";"0";"2163";"14937"
"C19 - Neoplasia maligna da junção retossigmóide";"470";"346";"66";"0";"562";"1444"
"C20 - Neoplasia maligna do reto";"1000";"3707";"1995";"499";"1227";"8428"
"C21 - Neoplasia maligna do ânus e do canal anal";"160";"456";"566";"77";"230";"1489"
"C22 - Neoplasia maligna do fígado e das vias biliares intra-hepáticas";"716";"644";"57";"0";"526";"1943"
"C23 - Neoplasia maligna da vesícula biliar";"437";"363";"20";"4";"122";"946"
"C24 - Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares";"201";"307";"28";"1";"216";"753"
"C25 - Neoplasia maligna do pâncreas";"695";"1709";"61";"1";"655";"3121"
"C26 - Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho dig";"83";"66";"11";"0";"239";"399"
"C30 - Neoplasia maligna da cavidade nasal e do ouvido médio";"47";"0";"117";"0";"56";"220"
