"Diagnóstico Detalhado";"CIRURGIA";"QUIMIOTERAPIA";"RADIOTERAPIA";"AMBOS";"Sem informação de tratamento";" Total"
"C00 - Neoplasia maligna do lábio";"729";"11";"123";"0";"671";"1534"
"C01 - Neoplasia maligna da base da língua";"245";"687";"360";"26";"266";"1584"
"C02 - Neoplasia maligna de outras partes e de partes não especificadas da língua";"418";"658";"727";"25";"759";"2587"
"C03 - Neoplasia maligna da gengiva";"76";"69";"75";"2";"130";"352"
"C04 - Neoplasia maligna do assoalho da boca";"245";"262";"337";"10";"692";"1546"
"C05 - Neoplasia maligna do palato";"125";"312";"267";"17";"251";"972"
"C06 - Neoplasia maligna de outras partes e de partes não especificadas da boca";"272";"424";"506";"11";"1259";"2472"
"C07 - Neoplasia maligna da glândula parótida";"606";"92";"373";"6";"345";"1422"
"C08 - Neoplasia maligna de outras glândulas salivares maiores e as não especificadas";"146";"66";"121";"1";"292";"626"
"C09 - Neoplasia maligna da amígdala";"32";"385";"191";"10";"111";"729"
"C10 - Neoplasia maligna da orofaringe";"478";"1706";"1692";"93";"597";"4566"
"C11 - Neoplasia maligna da nasofaringe";"175";"494";"249";"19";"143";"1080"
"C12 - Neoplasia maligna do seio piriforme";"33";"152";"119";"6";"56";"366"
"C13 - Neoplasia maligna da hipofaringe";"120";"529";"471";"26";"147";"1293"
"C14 - Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade o";"58";"303";"205";"4";"198";"768"
"C15 - Neoplasia maligna do esôfago";"309";"2672";"1713";"292";"2648";"7634"
"C16 - Neoplasia maligna do estômago";"2371";"5211";"440";"12";"7334";"15368"
"C17 - Neoplasia maligna do intestino delgado";"392";"153";"18";"0";"1207";"1770"
"C18 - Neoplasia maligna do cólon";"6960";"7727";"37";"1";"6652";"21377"
"C19 - Neoplasia maligna da junção retossigmóide";"753";"374";"43";"1";"979";"2150"
"C20 - Neoplasia maligna do reto";"1404";"4151";"1881";"507";"2493";"10436"
"C21 - Neoplasia maligna do ânus e do canal anal";"258";"568";"553";"85";"892";"2356"
"C22 - Neoplasia maligna do fígado e das vias biliares intra-hepáticas";"1090";"713";"34";"0";"1430";"3267"
"C23 - Neoplasia maligna da vesícula biliar";"616";"375";"18";"0";"302";"1311"
"C24 - Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares";"335";"357";"25";"0";"426";"1143"
"C25 - Neoplasia maligna do pâncreas";"872";"1904";"51";"2";"1293";"4122"
"C26 - Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho dig";"109";"53";"26";"0";"879";"1067"
"C30 - Neoplasia maligna da cavidade nasal e do ouvido médio";"54";"2";"142";"0";"231";"429"
"C31 - Neoplasia maligna dos seios da face";"254";"126";"170";"4";"323";"877"
"C32 - Neoplasia maligna da laringe";"2195";"1009";"1377";"93";"958";"5632"
"C33 - Neoplasia maligna da traquéia";"12";"0";"16";"0";"167";"195"
"C34 - Neoplasia maligna dos brônquios e dos pulmões";"1999";"6667";"1268";"72";"3192";"13198"
"C37 - Neoplasia maligna do timo";"28";"71";"26";"0";"16";"141"
"C38 - Neoplasia maligna do coração, mediastino e pleura";"571";"54";"54";"0";"740";"1419"
"C39 - Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respirat";"25";"0";"8";"0";"115";"148"
"C40 - Neoplasia maligna dos ossos e cartilagens articulares dos membros";"1120";"399";"120";"0";"1378";"3017"
"C41 - Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localiz";"408";"222";"393";"1";"932";"1956"
"C43 - Melanoma maligno da pele";"2129";"851";"176";"1";"2700";"5857"
"C44 - Outras neoplasias malignas da pele";"16629";"19";"2696";"0";"43699";"63043"
"C45 - Mesotelioma";"10";"0";"4";"0";"28";"42"
"C46 - Sarcoma de Kaposi";"5";"134";"20";"0";"77";"236"
"C47 - Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo";"24";"21";"17";"0";"50";"112"
"C48 - Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio";"902";"193";"13";"0";"1009";"2117"
"C49 - Neoplasia maligna do tecido conjuntivo e de outros tecidos moles";"4326";"1393";"666";"0";"5947";"12332"
"C50 - Neoplasia maligna da mama";"9138";"31704";"2795";"48";"9475";"53160"
"C51 - Neoplasia maligna da vulva";"475";"141";"197";"14";"397";"1224"
"C52 - Neoplasia maligna da vagina";"203";"2";"147";"0";"370";"722"
