"Diagnóstico Detalhado";"0";"1";"2";"3";"4";"Não se aplica";"Ignorado";" Total"
"C00 - Neoplasia maligna do lábio";"15";"26";"22";"55";"45";"636";"628";"1427"
"C01 - Neoplasia maligna da base da língua";"40";"22";"73";"348";"497";"241";"258";"1479"
"C02 - Neoplasia maligna de outras partes e de partes não especificadas da língua";"55";"53";"169";"480";"660";"425";"806";"2648"
"C03 - Neoplasia maligna da gengiva";"2";"6";"13";"41";"76";"84";"117";"339"
"C04 - Neoplasia maligna do assoalho da boca";"37";"29";"51";"180";"368";"219";"676";"1560"
"C05 - Neoplasia maligna do palato";"28";"27";"59";"180";"225";"103";"246";"868"
"C06 - Neoplasia maligna de outras partes e de partes não especificadas da boca";"35";"40";"85";"250";"458";"260";"1128";"2256"
"C07 - Neoplasia maligna da glândula parótida";"26";"28";"78";"142";"194";"443";"292";"1203"
"C08 - Neoplasia maligna de outras glândulas salivares maiores e as não especificadas";"2";"11";"29";"69";"109";"133";"143";"496"
"C09 - Neoplasia maligna da amígdala";"31";"15";"59";"170";"244";"21";"150";"690"
"C10 - Neoplasia maligna da orofaringe";"116";"144";"318";"1210";"1827";"468";"635";"4718"
"C11 - Neoplasia maligna da nasofaringe";"40";"28";"55";"289";"361";"175";"146";"1094"
"C12 - Neoplasia maligna do seio piriforme";"14";"10";"18";"60";"113";"49";"77";"341"
"C13 - Neoplasia maligna da hipofaringe";"43";"24";"70";"330";"506";"113";"154";"1240"
"C14 - Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade o";"23";"15";"38";"160";"257";"63";"234";"790"
"C15 - Neoplasia maligna do esôfago";"217";"218";"1072";"2143";"1164";"315";"2615";"7744"
"C16 - Neoplasia maligna do estômago";"163";"173";"712";"2174";"2534";"1895";"8973";"16624"
"C17 - Neoplasia maligna do intestino delgado";"9";"14";"19";"38";"96";"420";"1265";"1861"
"C18 - Neoplasia maligna do cólon";"185";"165";"1291";"2626";"3723";"6883";"6894";"21767"
"C19 - Neoplasia maligna da junção retossigmóide";"4";"9";"63";"139";"184";"640";"1115";"2154"
"C20 - Neoplasia maligna do reto";"263";"288";"1361";"2952";"1781";"1237";"2502";"10384"
