"Diagnóstico Detalhado";"0";"1";"2";"3";"4";"Não se aplica";"Ignorado";" Total"
"C00 - Neoplasia maligna do lábio";"9";"16";"33";"56";"40";"631";"553";"1338"
"C01 - Neoplasia maligna da base da língua";"29";"41";"82";"371";"539";"289";"393";"1744"
"C02 - Neoplasia maligna de outras partes e de partes não especificadas da língua";"49";"77";"159";"500";"629";"452";"1200";"3066"
"C03 - Neoplasia maligna da gengiva";"2";"5";"16";"37";"75";"78";"128";"341"
"C04 - Neoplasia maligna do assoalho da boca";"23";"34";"54";"199";"275";"160";"676";"1421"
"C05 - Neoplasia maligna do palato";"16";"31";"53";"179";"209";"89";"315";"892"
"C06 - Neoplasia maligna de outras partes e de partes não especificadas da boca";"56";"34";"90";"283";"436";"306";"1714";"2919"
"C07 - Neoplasia maligna da glândula parótida";"25";"35";"77";"187";"177";"673";"383";"1557"
"C08 - Neoplasia maligna de outras glândulas salivares maiores e as não especificadas";"12";"17";"33";"74";"81";"142";"207";"566"
"C09 - Neoplasia maligna da amígdala";"11";"26";"47";"198";"230";"32";"224";"768"
"C10 - Neoplasia maligna da orofaringe";"128";"170";"292";"1308";"1739";"483";"654";"4774"
"C11 - Neoplasia maligna da nasofaringe";"24";"27";"57";"267";"342";"155";"623";"1495"
"C12 - Neoplasia maligna do seio piriforme";"6";"0";"14";"64";"82";"26";"31";"223"
"C13 - Neoplasia maligna da hipofaringe";"42";"37";"76";"329";"397";"116";"138";"1135"
"C14 - Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade o";"26";"18";"48";"138";"215";"66";"240";"751"
"C15 - Neoplasia maligna do esôfago";"163";"289";"1075";"2204";"1113";"334";"2420";"7598"
"C16 - Neoplasia maligna do estômago";"186";"261";"904";"2372";"2552";"1951";"10028";"18254"
"C17 - Neoplasia maligna do intestino delgado";"10";"7";"25";"55";"86";"500";"1898";"2581"
"C18 - Neoplasia maligna do cólon";"128";"262";"1528";"3404";"4380";"7902";"9749";"27353"
"C19 - Neoplasia maligna da junção retossigmóide";"4";"11";"74";"197";"230";"813";"1388";"2717"
"C20 - Neoplasia maligna do reto";"235";"387";"1550";"3635";"1988";"1408";"3281";"12484"
"C21 - Neoplasia maligna do ânus e do canal anal";"92";"103";"376";"747";"268";"344";"805";"2735"
"C22 - Neoplasia maligna do fígado e das vias biliares intra-hepáticas";"31";"38";"56";"131";"656";"1084";"1781";"3777"
"C23 - Neoplasia maligna da vesícula biliar";"10";"13";"36";"59";"309";"416";"293";"1136"
"C24 - Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares";"14";"13";"26";"66";"298";"294";"694";"1405"
"C25 - Neoplasia maligna do pâncreas";"47";"93";"194";"497";"1656";"895";"1353";"4735"
"C26 - Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho dig";"0";"0";"0";"0";"0";"112";"1536";"1648"
"C30 - Neoplasia maligna da cavidade nasal e do ouvido médio";"0";"0";"0";"0";"0";"61";"356";"417"
"C31 - Neoplasia maligna dos seios da face";"7";"15";"39";"137";"130";"280";"260";"868"
"C32 - Neoplasia maligna da laringe";"104";"368";"291";"809";"861";"2066";"865";"5364"
"C33 - Neoplasia maligna da traquéia";"0";"0";"0";"0";"0";"8";"57";"65"
"C34 - Neoplasia maligna dos brônquios e dos pulmões";"230";"321";"401";"2045";"5328";"2107";"3813";"14245"
"C37 - Neoplasia maligna do timo";"0";"0";"0";"0";"0";"44";"153";"197"
"C38 - Neoplasia maligna do coração, mediastino e pleura";"7";"8";"7";"26";"32";"527";"781";"1388"
"C39 - Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respirat";"0";"0";"0";"0";"0";"29";"89";"118"
"C40 - Neoplasia maligna dos ossos e cartilagens articulares dos membros";"57";"40";"61";"114";"115";"1029";"802";"2218"
"C41 - Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localiz";"70";"44";"48";"109";"205";"410";"1033";"1919"
"C43 - Melanoma maligno da pele";"25";"44";"51";"117";"441";"2398";"3090";"6166"
"C44 - Outras neoplasias malignas da pele";"265";"1091";"725";"474";"236";"17842";"50550";"71183"
"C45 - Mesotelioma";"0";"0";"0";"0";"0";"12";"43";"55"
"C46 - Sarcoma de Kaposi";"0";"0";"0";"0";"0";"10";"315";"325"
"C47 - Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo";"0";"0";"0";"0";"0";"22";"84";"106"
"C48 - Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio";"8";"14";"17";"33";"74";"898";"886";"1930"
"C49 - Neoplasia maligna do tecido conjuntivo e de outros tecidos moles";"112";"190";"254";"563";"848";"3650";"6726";"12343"
"C50 - Neoplasia maligna da mama";"1521";"7179";"10105";"15237";"6497";"7976";"14161";"62676"
"C51 - Neoplasia maligna da vulva";"20";"36";"53";"155";"82";"538";"583";"1467"
"C52 - Neoplasia maligna da vagina";"8";"17";"36";"53";"36";"175";"257";"582"
"C53 - Neoplasia maligna do colo do útero";"367";"891";"2537";"4388";"2346";"4781";"6528";"21838"
"C54 - Neoplasia maligna do corpo do útero";"103";"762";"408";"708";"798";"3091";"2947";"8817"
"C55 - Neoplasia maligna do útero, porção não especificada";"0";"0";"0";"0";"0";"552";"475";"1027"
"C56 - Neoplasia maligna do ovário";"67";"258";"190";"828";"951";"3038";"2796";"8128"
"C57 - Neoplasia maligna de outros órgãos genitais femininos e dos não especificados";"0";"7";"3";"16";"24";"436";"1253";"1739"
"C58 - Neoplasia maligna da placenta";"0";"0";"0";"0";"0";"0";"214";"214"
"C60 - Neoplasia maligna do pênis";"7";"6";"9";"64";"79";"630";"478";"1273"
"C61 - Neoplasia maligna da próstata";"1422";"2749";"7321";"6311";"7251";"7896";"11710";"44660"
"C62 - Neoplasia maligna dos testículos";"16";"128";"117";"193";"135";"1253";"212";"2054"
"C63 - Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados";"0";"0";"0";"0";"0";"17";"189";"206"
"C64 - Neoplasia maligna do rim, exceto pelve renal";"76";"72";"73";"75";"451";"3180";"1765";"5692"
"C65 - Neoplasia maligna da pelve renal";"4";"2";"5";"8";"36";"248";"156";"459"
"C66 - Neoplasia maligna dos ureteres";"1";"3";"1";"4";"20";"98";"81";"208"
"C67 - Neoplasia maligna da bexiga";"140";"540";"245";"249";"229";"5877";"1305";"8585"
"C68 - Neoplasia maligna de outros órgãos urinários e dos não especificados";"2";"1";"4";"2";"7";"8";"59";"83"
