"Diagnóstico Detalhado";"0";"1";"2";"3";"4";"Não se aplica";"Ignorado";" Total"
"C00 - Neoplasia maligna do lábio";"6";"13";"26";"41";"48";"729";"671";"1534"
"C01 - Neoplasia maligna da base da língua";"56";"31";"69";"342";"575";"245";"266";"1584"
"C02 - Neoplasia maligna de outras partes e de partes não especificadas da língua";"60";"56";"180";"472";"642";"418";"759";"2587"
"C03 - Neoplasia maligna da gengiva";"5";"4";"16";"38";"83";"76";"130";"352"
"C04 - Neoplasia maligna do assoalho da boca";"20";"23";"57";"174";"335";"245";"692";"1546"
"C05 - Neoplasia maligna do palato";"36";"28";"93";"184";"255";"125";"251";"972"
"C06 - Neoplasia maligna de outras partes e de partes não especificadas da boca";"48";"33";"96";"266";"498";"272";"1259";"2472"
"C07 - Neoplasia maligna da glândula parótida";"17";"35";"82";"145";"192";"606";"345";"1422"
"C08 - Neoplasia maligna de outras glândulas salivares maiores e as não especificadas";"12";"16";"34";"55";"71";"146";"292";"626"
"C09 - Neoplasia maligna da amígdala";"18";"22";"79";"205";"262";"32";"111";"729"
"C10 - Neoplasia maligna da orofaringe";"119";"134";"312";"1152";"1774";"478";"597";"4566"
"C11 - Neoplasia maligna da nasofaringe";"43";"31";"60";"263";"365";"175";"143";"1080"
"C12 - Neoplasia maligna do seio piriforme";"11";"8";"24";"86";"148";"33";"56";"366"
"C13 - Neoplasia maligna da hipofaringe";"48";"44";"73";"354";"507";"120";"147";"1293"
"C14 - Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade o";"32";"20";"46";"139";"275";"58";"198";"768"
"C15 - Neoplasia maligna do esôfago";"229";"248";"1013";"2147";"1040";"309";"2648";"7634"
"C16 - Neoplasia maligna do estômago";"172";"190";"795";"2064";"2442";"2371";"7334";"15368"
"C17 - Neoplasia maligna do intestino delgado";"8";"9";"20";"40";"94";"392";"1207";"1770"
"C18 - Neoplasia maligna do cólon";"176";"186";"1254";"2555";"3594";"6960";"6652";"21377"
"C19 - Neoplasia maligna da junção retossigmóide";"10";"6";"62";"151";"189";"753";"979";"2150"
"C20 - Neoplasia maligna do reto";"253";"271";"1396";"2905";"1714";"1404";"2493";"10436"
"C21 - Neoplasia maligna do ânus e do canal anal";"46";"87";"350";"563";"160";"258";"892";"2356"
"C22 - Neoplasia maligna do fígado e das vias biliares intra-hepáticas";"29";"23";"33";"93";"528";"1090";"1471";"3267"
