"Diagnóstico Detalhado";"0";"1";"2";"3";"4";"Não se aplica";"Ignorado";" Total"
"C00 - Neoplasia maligna do lábio";"16";"12";"30";"56";"40";"609";"563";"1326"
"C01 - Neoplasia maligna da base da língua";"30";"25";"69";"335";"444";"240";"411";"1554"
"C02 - Neoplasia maligna de outras partes e de partes não especificadas da língua";"52";"54";"177";"543";"656";"449";"1029";"2960"
"C03 - Neoplasia maligna da gengiva";"5";"7";"10";"42";"62";"84";"120";"330"
"C04 - Neoplasia maligna do assoalho da boca";"20";"27";"63";"184";"346";"192";"663";"1495"
"C05 - Neoplasia maligna do palato";"12";"39";"74";"159";"232";"110";"357";"983"
"C06 - Neoplasia maligna de outras partes e de partes não especificadas da boca";"30";"47";"95";"272";"488";"304";"1630";"2866"
"C07 - Neoplasia maligna da glândula parótida";"29";"38";"85";"171";"208";"600";"390";"1521"
"C08 - Neoplasia maligna de outras glândulas salivares maiores e as não especificadas";"7";"15";"30";"75";"103";"154";"176";"560"
"C09 - Neoplasia maligna da amígdala";"12";"28";"48";"190";"211";"29";"219";"737"
"C10 - Neoplasia maligna da orofaringe";"94";"176";"314";"1352";"1730";"538";"592";"4796"
"C11 - Neoplasia maligna da nasofaringe";"18";"14";"50";"298";"359";"181";"618";"1538"
"C12 - Neoplasia maligna do seio piriforme";"6";"6";"9";"41";"87";"24";"45";"218"
"C13 - Neoplasia maligna da hipofaringe";"26";"37";"79";"331";"465";"135";"143";"1216"
"C14 - Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade o";"25";"26";"47";"160";"292";"85";"271";"906"
"C15 - Neoplasia maligna do esôfago";"192";"207";"1076";"2160";"1140";"311";"2378";"7464"
"C16 - Neoplasia maligna do estômago";"171";"221";"860";"2405";"2618";"1985";"12952";"21212"
"C17 - Neoplasia maligna do intestino delgado";"6";"6";"17";"49";"93";"469";"1443";"2083"
"C18 - Neoplasia maligna do cólon";"149";"187";"1425";"3035";"4142";"7382";"8630";"24950"
"C19 - Neoplasia maligna da junção retossigmóide";"7";"3";"89";"166";"234";"623";"1195";"2317"
"C20 - Neoplasia maligna do reto";"198";"346";"1439";"3422";"1926";"1376";"2941";"11648"
"C21 - Neoplasia maligna do ânus e do canal anal";"58";"97";"339";"646";"245";"331";"861";"2577"
"C22 - Neoplasia maligna do fígado e das vias biliares intra-hepáticas";"26";"28";"59";"109";"685";"993";"1630";"3530"
"C23 - Neoplasia maligna da vesícula biliar";"8";"20";"47";"62";"325";"502";"266";"1230"
"C24 - Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares";"13";"21";"40";"100";"293";"277";"649";"1393"
"C25 - Neoplasia maligna do pâncreas";"53";"97";"200";"426";"1505";"838";"1221";"4340"
"C26 - Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho dig";"0";"0";"0";"0";"0";"114";"1744";"1858"
"C30 - Neoplasia maligna da cavidade nasal e do ouvido médio";"0";"0";"0";"0";"0";"59";"373";"432"
"C31 - Neoplasia maligna dos seios da face";"8";"18";"28";"122";"147";"265";"256";"844"
"C32 - Neoplasia maligna da laringe";"85";"355";"301";"786";"848";"2109";"836";"5320"
"C33 - Neoplasia maligna da traquéia";"0";"0";"0";"0";"0";"7";"49";"56"
"C34 - Neoplasia maligna dos brônquios e dos pulmões";"202";"325";"442";"2035";"5220";"1969";"3513";"13706"
"C37 - Neoplasia maligna do timo";"0";"0";"0";"0";"0";"39";"135";"174"
"C38 - Neoplasia maligna do coração, mediastino e pleura";"8";"11";"9";"35";"45";"522";"895";"1525"
"C39 - Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respirat";"0";"0";"0";"0";"0";"25";"73";"98"
