"Diagnóstico Detalhado";"Jan/2022";"Fev/2022";"Mar/2022";"Abr/2022";"Mai/2022";"Jun/2022";"Jul/2022";"Ago/2022";"Set/2022";"Out/2022";"Nov/2022";"Dez/2022";" Total"
"C00 - Neoplasia maligna do lábio";"70";"96";"125";"98";"112";"101";"119";"158";"123";"98";"115";"111";"1326"
"C01 - Neoplasia maligna da base da língua";"120";"114";"118";"125";"128";"152";"161";"137";"130";"132";"117";"120";"1554"
"C02 - Neoplasia maligna de outras partes e de partes não especificadas da língua";"180";"213";"287";"267";"264";"240";"260";"277";"240";"244";"239";"249";"2960"
"C03 - Neoplasia maligna da gengiva";"23";"23";"29";"31";"34";"31";"32";"32";"24";"18";"30";"23";"330"
"C04 - Neoplasia maligna do assoalho da boca";"106";"94";"133";"121";"146";"130";"120";"169";"125";"108";"133";"110";"1495"
"C05 - Neoplasia maligna do palato";"73";"78";"97";"93";"95";"57";"83";"105";"69";"81";"78";"74";"983"
"C06 - Neoplasia maligna de outras partes e de partes não especificadas da boca";"206";"222";"258";"213";"248";"259";"242";"264";"259";"275";"231";"189";"2866"
"C07 - Neoplasia maligna da glândula parótida";"96";"100";"161";"114";"130";"132";"140";"142";"138";"140";"123";"105";"1521"
"C08 - Neoplasia maligna de outras glândulas salivares maiores e as não especificadas";"36";"56";"57";"40";"46";"39";"54";"41";"46";"54";"51";"40";"560"
"C09 - Neoplasia maligna da amígdala";"56";"65";"60";"56";"80";"60";"62";"52";"72";"62";"72";"40";"737"
"C10 - Neoplasia maligna da orofaringe";"337";"394";"451";"414";"399";"379";"436";"448";"416";"379";"384";"359";"4796"
"C11 - Neoplasia maligna da nasofaringe";"78";"130";"106";"386";"161";"94";"100";"111";"97";"111";"87";"77";"1538"
"C12 - Neoplasia maligna do seio piriforme";"12";"17";"22";"13";"23";"15";"13";"22";"28";"16";"16";"21";"218"
"C13 - Neoplasia maligna da hipofaringe";"93";"100";"110";"99";"109";"97";"85";"114";"108";"114";"98";"89";"1216"
"C14 - Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade o";"74";"75";"96";"63";"88";"71";"77";"102";"62";"62";"69";"67";"906"
"C15 - Neoplasia maligna do esôfago";"555";"606";"666";"557";"707";"626";"687";"690";"635";"562";"601";"572";"7464"
"C16 - Neoplasia maligna do estômago";"1960";"1749";"2385";"1924";"2105";"1719";"1637";"1964";"1459";"1479";"1350";"1481";"21212"
"C17 - Neoplasia maligna do intestino delgado";"158";"167";"199";"172";"178";"158";"202";"179";"161";"172";"176";"161";"2083"
"C18 - Neoplasia maligna do cólon";"1900";"1909";"2250";"1943";"2148";"1951";"2130";"2336";"2159";"2085";"2112";"2027";"24950"
"C19 - Neoplasia maligna da junção retossigmóide";"196";"178";"193";"185";"220";"169";"183";"216";"187";"205";"186";"199";"2317"
"C20 - Neoplasia maligna do reto";"865";"896";"1068";"872";"1053";"977";"942";"1064";"1029";"942";"954";"986";"11648"
"C21 - Neoplasia maligna do ânus e do canal anal";"197";"181";"199";"184";"232";"236";"218";"255";"220";"222";"235";"198";"2577"
"C22 - Neoplasia maligna do fígado e das vias biliares intra-hepáticas";"261";"290";"306";"293";"307";"275";"304";"347";"322";"283";"256";"286";"3530"
"C23 - Neoplasia maligna da vesícula biliar";"81";"88";"98";"99";"99";"122";"100";"153";"84";"99";"107";"100";"1230"
"C24 - Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares";"111";"81";"121";"102";"129";"111";"104";"148";"128";"122";"113";"123";"1393"
"C25 - Neoplasia maligna do pâncreas";"344";"349";"377";"347";"358";"357";"342";"426";"361";"364";"360";"355";"4340"
"C26 - Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho dig";"122";"120";"157";"163";"198";"135";"139";"198";"170";"168";"153";"135";"1858"
"C30 - Neoplasia maligna da cavidade nasal e do ouvido médio";"32";"32";"41";"33";"39";"47";"42";"31";"30";"35";"35";"35";"432"
"C31 - Neoplasia maligna dos seios da face";"69";"57";"67";"78";"78";"86";"61";"94";"81";"57";"58";"58";"844"
"C32 - Neoplasia maligna da laringe";"422";"400";"490";"407";"507";"428";"421";"494";"465";"446";"440";"400";"5320"
"C33 - Neoplasia maligna da traquéia";"3";"8";"5";"4";"6";"3";"2";"11";"6";"3";"3";"2";"56"
"C34 - Neoplasia maligna dos brônquios e dos pulmões";"1025";"996";"1260";"1093";"1278";"1106";"1061";"1341";"1238";"1143";"1102";"1063";"13706"
"C37 - Neoplasia maligna do timo";"15";"13";"17";"12";"16";"8";"10";"16";"16";"20";"16";"15";"174"
"C38 - Neoplasia maligna do coração, mediastino e pleura";"109";"130";"145";"112";"138";"123";"136";"128";"116";"129";"133";"126";"1525"
"C39 - Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respirat";"7";"7";"7";"9";"8";"15";"13";"9";"6";"5";"6";"6";"98"
"C40 - Neoplasia maligna dos ossos e cartilagens articulares dos membros";"152";"178";"187";"157";"170";"216";"200";"226";"214";"176";"184";"182";"2242"
"C41 - Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localiz";"149";"162";"182";"132";"182";"158";"183";"192";"166";"168";"162";"135";"1971"
"C43 - Melanoma maligno da pele";"439";"420";"577";"466";"505";"429";"434";"468";"504";"505";"468";"496";"5711"
"C44 - Outras neoplasias malignas da pele";"3852";"4489";"5366";"4742";"5613";"5272";"5489";"5770";"6054";"5482";"5328";"4848";"62305"
"C45 - Mesotelioma";"0";"2";"0";"6";"5";"3";"2";"8";"6";"5";"3";"2";"42"
"C46 - Sarcoma de Kaposi";"20";"18";"23";"27";"35";"21";"24";"31";"29";"22";"19";"27";"296"
"C47 - Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo";"7";"4";"9";"8";"7";"10";"13";"16";"8";"9";"6";"13";"110"
"C48 - Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio";"156";"233";"271";"220";"202";"157";"154";"192";"135";"151";"157";"130";"2158"
"C49 - Neoplasia maligna do tecido conjuntivo e de outros tecidos moles";"873";"895";"1195";"982";"1207";"1069";"1134";"1233";"1113";"1116";"1041";"941";"12799"
"C50 - Neoplasia maligna da mama";"4373";"4762";"5065";"4571";"5199";"5020";"4979";"5369";"5385";"5101";"5192";"5279";"60295"
"C51 - Neoplasia maligna da vulva";"96";"91";"121";"101";"119";"118";"96";"110";"135";"124";"114";"86";"1311"
"C52 - Neoplasia maligna da vagina";"44";"40";"63";"59";"47";"55";"58";"49";"45";"53";"66";"32";"611"
"C53 - Neoplasia maligna do colo do útero";"1436";"1492";"1764";"1704";"1887";"1767";"1769";"1993";"1922";"1729";"1807";"1674";"20944"
"C54 - Neoplasia maligna do corpo do útero";"578";"563";"730";"627";"723";"746";"647";"709";"659";"679";"629";"629";"7919"
"C55 - Neoplasia maligna do útero, porção não especificada";"73";"74";"95";"96";"99";"82";"88";"79";"90";"77";"64";"59";"976"
"C56 - Neoplasia maligna do ovário";"527";"525";"729";"594";"662";"573";"644";"726";"656";"607";"581";"539";"7363"
"C57 - Neoplasia maligna de outros órgãos genitais femininos e dos não especificados";"98";"84";"130";"87";"126";"116";"94";"147";"113";"112";"96";"130";"1333"
"C58 - Neoplasia maligna da placenta";"14";"16";"18";"25";"19";"26";"21";"27";"23";"24";"14";"20";"247"
"C60 - Neoplasia maligna do pênis";"86";"90";"120";"93";"94";"91";"97";"93";"100";"87";"86";"77";"1114"
"C61 - Neoplasia maligna da próstata";"3181";"3492";"3762";"3394";"3840";"3675";"3582";"4032";"3605";"3682";"3467";"3573";"43285"
"C62 - Neoplasia maligna dos testículos";"127";"156";"205";"164";"172";"150";"197";"195";"171";"178";"173";"155";"2043"
"C63 - Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados";"23";"16";"24";"20";"29";"17";"18";"30";"28";"17";"29";"18";"269"
"C64 - Neoplasia maligna do rim, exceto pelve renal";"351";"346";"453";"395";"440";"395";"417";"501";"427";"418";"419";"340";"4902"
"C65 - Neoplasia maligna da pelve renal";"39";"30";"40";"53";"45";"27";"44";"54";"42";"50";"41";"46";"511"
"C66 - Neoplasia maligna dos ureteres";"20";"13";"22";"19";"19";"17";"18";"18";"25";"18";"15";"13";"217"
"C67 - Neoplasia maligna da bexiga";"608";"605";"654";"581";"669";"664";"672";"759";"726";"726";"681";"623";"7968"
"C68 - Neoplasia maligna de outros órgãos urinários e dos não especificados";"11";"1";"4";"6";"7";"7";"1";"11";"8";"7";"9";"4";"76"
"C69 - Neoplasia maligna do olho e anexos";"82";"96";"93";"117";"119";"91";"109";"135";"114";"101";"96";"98";"1251"
"C70 - Neoplasia maligna das meninges";"14";"13";"24";"19";"25";"24";"14";"23";"18";"21";"13";"15";"223"
"C71 - Neoplasia maligna do encéfalo";"417";"367";"426";"420";"467";"426";"464";"458";"419";"418";"400";"361";"5043"
"C72 - Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nerv";"83";"78";"99";"111";"109";"107";"121";"133";"112";"113";"85";"87";"1238"
"C73 - Neoplasia maligna da glândula tireóide";"673";"676";"850";"655";"859";"762";"867";"906";"808";"824";"770";"694";"9344"
"C74 - Neoplasia maligna da glândula supra-renal [glândula adrenal]";"26";"34";"36";"40";"48";"44";"42";"45";"40";"42";"40";"40";"477"
"C75 - Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas";"26";"27";"37";"26";"43";"37";"42";"42";"41";"36";"25";"14";"396"
"C76 - Neoplasia maligna de outras localizações e de localizações mal definidas";"461";"541";"585";"560";"711";"598";"553";"633";"618";"599";"573";"580";"7012"
"C77 - Neoplasia maligna secundária e não especificada dos gânglios linfáticos";"758";"779";"872";"806";"907";"751";"791";"899";"873";"818";"791";"720";"9765"
"C78 - Neoplasia maligna secundária dos órgãos respiratórios e digestivos";"228";"238";"322";"278";"325";"249";"306";"309";"310";"306";"279";"267";"3417"
"C79 - Neoplasia maligna secundária de outras localizações";"1164";"1290";"1462";"1209";"1436";"1324";"1189";"1344";"1245";"1282";"1097";"1146";"15188"
"C80 - Neoplasia maligna, sem especificação de localização";"1388";"1779";"1934";"1741";"2108";"1859";"1516";"1958";"1916";"1956";"1622";"1658";"21435"
"C81 - Doença de Hodgkin";"177";"146";"193";"190";"207";"189";"181";"197";"175";"223";"186";"193";"2257"
"C82 - Linfoma não-Hodgkin, folicular (nodular)";"89";"100";"97";"89";"98";"99";"92";"82";"99";"112";"97";"100";"1154"
"C83 - Linfoma não-Hodgkin difuso";"352";"347";"386";"388";"378";"387";"405";"436";"380";"346";"348";"365";"4518"
"C84 - Linfomas de células T cutâneas e periféricas";"34";"39";"56";"37";"71";"69";"66";"68";"73";"66";"54";"47";"680"
"C85 - Linfoma não-Hodgkin de outros tipos e de tipo não especificado";"135";"114";"107";"147";"140";"119";"145";"173";"157";"139";"139";"144";"1659"
"C88 - Doenças imunoproliferativas malignas";"1131";"13";"484";"644";"576";"532";"827";"139";"550";"368";"424";"421";"6109"
"C90 - Mieloma múltiplo e neoplasias malignas de plasmócitos";"273";"312";"370";"311";"331";"351";"313";"403";"862";"304";"379";"385";"4594"
"C91 - Leucemia linfóide";"272";"299";"301";"235";"274";"500";"268";"301";"275";"256";"244";"237";"3462"
"C92 - Leucemia mielóide";"263";"257";"346";"294";"325";"301";"267";"322";"336";"291";"317";"311";"3630"
"C93 - Leucemia monocítica";"5";"18";"7";"8";"14";"9";"10";"13";"14";"10";"9";"10";"127"
"C94 - Outras leucemias de células de tipo especificado";"12";"11";"11";"9";"15";"15";"12";"16";"8";"15";"11";"9";"144"
"C95 - Leucemia de tipo celular não especificado";"14";"12";"18";"10";"11";"16";"13";"11";"13";"19";"20";"5";"162"
"C96 - Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e teci";"42";"42";"49";"29";"26";"37";"40";"54";"32";"38";"30";"43";"462"
"C97 - Neoplasias malignas de localizações múltiplas independentes (primárias)";"4";"1";"1";"1";"3";"1";"3";"9";"4";"5";"10";"8";"50"
"D00 - Carcinoma in situ da cavidade oral, do esôfago e do estômago";"200";"208";"188";"172";"238";"200";"242";"330";"299";"327";"207";"180";"2791"
"D01 - Carcinoma in situ de outros órgãos digestivos";"157";"142";"164";"183";"165";"133";"149";"188";"137";"178";"177";"156";"1929"
"D02 - Carcinoma in situ do ouvido médio e do aparelho respiratório";"28";"30";"27";"18";"23";"27";"26";"37";"25";"27";"35";"18";"321"
"D03 - Melanoma in situ";"27";"46";"116";"115";"165";"140";"141";"132";"138";"170";"143";"118";"1451"
"D04 - Carcinoma in situ da pele";"1075";"1375";"1507";"1556";"1772";"1546";"1336";"1771";"1682";"1641";"1412";"1349";"18022"
"D05 - Carcinoma in situ da mama";"207";"224";"256";"185";"238";"235";"244";"262";"255";"229";"242";"199";"2776"
"D06 - Carcinoma in situ do colo do útero (cérvix)";"648";"583";"759";"764";"779";"868";"913";"826";"911";"915";"772";"783";"9521"
"D07 - Carcinoma in situ de outros órgãos genitais e dos não especificados";"230";"204";"285";"284";"321";"309";"349";"398";"334";"376";"279";"256";"3625"
"D09 - Carcinoma in situ de outras localizações e das não especificadas";"280";"326";"340";"86";"313";"308";"356";"123";"336";"359";"338";"276";"3441"
"D37 - Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos";"706";"668";"988";"803";"860";"855";"1099";"992";"1172";"1007";"881";"800";"10831"
"D38 - Neoplasia de comportamento incerto ou desconhecido do ouvido médio e dos órgãos respiratórios";"105";"112";"133";"109";"163";"120";"137";"132";"127";"147";"110";"108";"1503"
"D39 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais femininos";"461";"443";"474";"471";"569";"449";"558";"634";"550";"546";"558";"532";"6245"
"D40 - Neoplasia de comportamento incerto ou desconhecido dos órgãos genitais masculinos";"389";"459";"475";"457";"549";"510";"501";"507";"479";"469";"415";"400";"5610"
"D41 - Neoplasia de comportamento incerto ou desconhecido dos órgãos urinários";"103";"93";"108";"100";"117";"93";"93";"119";"118";"91";"95";"89";"1219"
"D42 - Neoplasia de comportamento incerto ou desconhecido das meninges";"16";"3";"13";"6";"38";"15";"8";"7";"10";"8";"8";"3";"135"
"D43 - Neoplasia de comportamento incerto ou desconhecido do encéfalo e do sistema nervoso central";"370";"451";"446";"234";"277";"315";"294";"341";"303";"311";"303";"286";"3931"
"D44 - Neoplasia de comportamento incerto ou desconhecido das glândulas endócrinas";"330";"326";"372";"339";"398";"339";"368";"411";"440";"366";"376";"347";"4412"
"D45 - Policitemia vera";"39";"38";"36";"44";"53";"37";"42";"47";"43";"35";"49";"28";"491"
"D46 - Síndromes mielodisplásicas";"113";"100";"97";"109";"94";"106";"119";"126";"91";"106";"108";"94";"1263"
"D47 - Outras neoplasias de comportamento incerto ou desconhecido dos tecidos linfático, hematopoéti";"400";"452";"513";"430";"478";"511";"456";"530";"511";"276";"512";"436";"5505"
"D48 - Neoplasia de comportamento incerto ou desconhecido de outras localizações e de localizações n";"3944";"3882";"5144";"4646";"5584";"5040";"4826";"7087";"6287";"5823";"5584";"5464";"63311"
"Total";"45276";"46625";"55577";"49536";"56809";"52443";"52706";"59421";"56939";"53873";"51753";"49953";"630911"
