"Diagnóstico Detalhado";"Jan/2020";"Fev/2020";"Mar/2020";"Abr/2020";"Mai/2020";"Jun/2020";"Jul/2020";"Ago/2020";"Set/2020";"Out/2020";"Nov/2020";"Dez/2020";" Total"
"C00 - Neoplasia maligna do lábio";"155";"138";"147";"101";"117";"93";"119";"97";"98";"116";"114";"132";"1427"
"C01 - Neoplasia maligna da base da língua";"132";"123";"120";"104";"113";"119";"137";"118";"154";"124";"136";"99";"1479"
"C02 - Neoplasia maligna de outras partes e de partes não especificadas da língua";"221";"227";"207";"167";"199";"183";"221";"234";"241";"254";"252";"242";"2648"
"C03 - Neoplasia maligna da gengiva";"27";"35";"25";"20";"29";"33";"26";"33";"31";"23";"27";"30";"339"
"C04 - Neoplasia maligna do assoalho da boca";"134";"139";"136";"113";"121";"122";"142";"126";"105";"153";"143";"126";"1560"
"C05 - Neoplasia maligna do palato";"76";"69";"88";"51";"64";"64";"72";"64";"75";"82";"83";"80";"868"
"C06 - Neoplasia maligna de outras partes e de partes não especificadas da boca";"218";"191";"190";"140";"155";"152";"201";"180";"215";"202";"212";"200";"2256"
"C07 - Neoplasia maligna da glândula parótida";"108";"104";"114";"82";"82";"90";"91";"93";"109";"134";"109";"87";"1203"
"C08 - Neoplasia maligna de outras glândulas salivares maiores e as não especificadas";"56";"43";"52";"36";"38";"31";"36";"32";"37";"54";"42";"39";"496"
"C09 - Neoplasia maligna da amígdala";"53";"56";"54";"56";"43";"53";"60";"59";"58";"60";"70";"68";"690"
"C10 - Neoplasia maligna da orofaringe";"417";"384";"367";"321";"360";"361";"440";"390";"426";"427";"432";"393";"4718"
"C11 - Neoplasia maligna da nasofaringe";"96";"97";"94";"59";"86";"78";"108";"104";"89";"109";"86";"88";"1094"
"C12 - Neoplasia maligna do seio piriforme";"26";"24";"33";"32";"28";"36";"25";"30";"30";"23";"27";"27";"341"
"C13 - Neoplasia maligna da hipofaringe";"92";"107";"113";"72";"98";"112";"107";"106";"127";"108";"97";"101";"1240"
"C14 - Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade o";"65";"65";"68";"61";"63";"55";"62";"75";"67";"69";"65";"75";"790"
"C15 - Neoplasia maligna do esôfago";"663";"700";"676";"445";"528";"711";"722";"661";"682";"650";"671";"635";"7744"
"C16 - Neoplasia maligna do estômago";"1567";"1373";"1320";"875";"948";"1025";"1348";"1424";"1590";"1779";"1835";"1540";"16624"
"C17 - Neoplasia maligna do intestino delgado";"153";"188";"156";"112";"121";"127";"141";"186";"153";"166";"179";"179";"1861"
"C18 - Neoplasia maligna do cólon";"2036";"1766";"1814";"1504";"1590";"1718";"1720";"1713";"2054";"1907";"2001";"1944";"21767"
"C19 - Neoplasia maligna da junção retossigmóide";"172";"163";"197";"185";"156";"156";"182";"189";"195";"181";"211";"167";"2154"
"C20 - Neoplasia maligna do reto";"946";"864";"872";"590";"779";"815";"878";"956";"911";"937";"927";"909";"10384"
"C21 - Neoplasia maligna do ânus e do canal anal";"182";"167";"167";"123";"164";"174";"180";"188";"185";"196";"173";"179";"2078"
"C22 - Neoplasia maligna do fígado e das vias biliares intra-hepáticas";"283";"273";"267";"256";"207";"233";"302";"283";"322";"291";"293";"281";"3291"
"C23 - Neoplasia maligna da vesícula biliar";"92";"118";"104";"76";"81";"105";"84";"100";"89";"121";"111";"79";"1160"
"C24 - Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares";"109";"83";"105";"107";"89";"104";"109";"105";"108";"101";"95";"80";"1195"
"C25 - Neoplasia maligna do pâncreas";"363";"328";"328";"363";"367";"345";"362";"376";"384";"327";"317";"360";"4220"
"C26 - Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho dig";"66";"110";"81";"45";"40";"49";"38";"72";"71";"88";"86";"69";"815"
"C30 - Neoplasia maligna da cavidade nasal e do ouvido médio";"35";"41";"25";"21";"19";"17";"27";"34";"31";"39";"45";"31";"365"
"C31 - Neoplasia maligna dos seios da face";"62";"74";"70";"56";"55";"63";"63";"84";"55";"81";"78";"67";"808"
"C32 - Neoplasia maligna da laringe";"502";"435";"440";"311";"407";"406";"416";"490";"511";"521";"462";"457";"5358"
"C33 - Neoplasia maligna da traquéia";"6";"6";"4";"2";"6";"3";"6";"6";"5";"5";"2";"6";"57"
