"Diagnóstico Detalhado";"Masculino";"Feminino";" Total"
"C00 - Neoplasia maligna do lábio";"847";"479";"1326"
"C01 - Neoplasia maligna da base da língua";"1150";"404";"1554"
"C02 - Neoplasia maligna de outras partes e de partes não especificadas da língua";"2025";"935";"2960"
"C03 - Neoplasia maligna da gengiva";"185";"145";"330"
"C04 - Neoplasia maligna do assoalho da boca";"1094";"401";"1495"
"C05 - Neoplasia maligna do palato";"627";"356";"983"
"C06 - Neoplasia maligna de outras partes e de partes não especificadas da boca";"1725";"1141";"2866"
"C07 - Neoplasia maligna da glândula parótida";"849";"672";"1521"
"C08 - Neoplasia maligna de outras glândulas salivares maiores e as não especificadas";"284";"276";"560"
"C09 - Neoplasia maligna da amígdala";"563";"174";"737"
"C10 - Neoplasia maligna da orofaringe";"3969";"827";"4796"
"C11 - Neoplasia maligna da nasofaringe";"987";"551";"1538"
"C12 - Neoplasia maligna do seio piriforme";"185";"33";"218"
"C13 - Neoplasia maligna da hipofaringe";"1028";"188";"1216"
"C14 - Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade o";"696";"210";"906"
"C15 - Neoplasia maligna do esôfago";"5358";"2106";"7464"
"C16 - Neoplasia maligna do estômago";"10615";"10597";"21212"
"C17 - Neoplasia maligna do intestino delgado";"980";"1103";"2083"
"C18 - Neoplasia maligna do cólon";"11784";"13166";"24950"
"C19 - Neoplasia maligna da junção retossigmóide";"1134";"1183";"2317"
"C20 - Neoplasia maligna do reto";"6115";"5533";"11648"
"C21 - Neoplasia maligna do ânus e do canal anal";"948";"1629";"2577"
"C22 - Neoplasia maligna do fígado e das vias biliares intra-hepáticas";"1788";"1742";"3530"
"C23 - Neoplasia maligna da vesícula biliar";"372";"858";"1230"
"C24 - Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares";"639";"754";"1393"
"C25 - Neoplasia maligna do pâncreas";"2103";"2237";"4340"
"C26 - Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho dig";"824";"1034";"1858"
"C30 - Neoplasia maligna da cavidade nasal e do ouvido médio";"244";"188";"432"
"C31 - Neoplasia maligna dos seios da face";"496";"348";"844"
"C32 - Neoplasia maligna da laringe";"4556";"764";"5320"
"C33 - Neoplasia maligna da traquéia";"34";"22";"56"
"C34 - Neoplasia maligna dos brônquios e dos pulmões";"7093";"6613";"13706"
"C37 - Neoplasia maligna do timo";"83";"91";"174"
"C38 - Neoplasia maligna do coração, mediastino e pleura";"732";"793";"1525"
"C39 - Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respirat";"50";"48";"98"
"C40 - Neoplasia maligna dos ossos e cartilagens articulares dos membros";"1119";"1123";"2242"
"C41 - Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localiz";"1025";"946";"1971"
"C43 - Melanoma maligno da pele";"2784";"2927";"5711"
"C44 - Outras neoplasias malignas da pele";"28809";"33496";"62305"
"C45 - Mesotelioma";"18";"24";"42"
"C46 - Sarcoma de Kaposi";"209";"87";"296"
"C47 - Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo";"56";"54";"110"
"C48 - Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio";"891";"1267";"2158"
"C49 - Neoplasia maligna do tecido conjuntivo e de outros tecidos moles";"6270";"6529";"12799"
"C50 - Neoplasia maligna da mama";"1069";"59226";"60295"
"C51 - Neoplasia maligna da vulva";"2";"1309";"1311"
"C52 - Neoplasia maligna da vagina";"0";"611";"611"
"C53 - Neoplasia maligna do colo do útero";"45";"20899";"20944"
"C54 - Neoplasia maligna do corpo do útero";"11";"7908";"7919"
"C55 - Neoplasia maligna do útero, porção não especificada";"2";"974";"976"
"C56 - Neoplasia maligna do ovário";"5";"7358";"7363"
"C57 - Neoplasia maligna de outros órgãos genitais femininos e dos não especificados";"5";"1328";"1333"
"C58 - Neoplasia maligna da placenta";"0";"247";"247"
"C60 - Neoplasia maligna do pênis";"1110";"4";"1114"
