"Diagnóstico Detalhado";"Masculino";"Feminino";" Total"
"C00 - Neoplasia maligna do lábio";"702";"401";"1103"
"C01 - Neoplasia maligna da base da língua";"1229";"301";"1530"
"C02 - Neoplasia maligna de outras partes e de partes não especificadas da língua";"2025";"840";"2865"
"C03 - Neoplasia maligna da gengiva";"194";"166";"360"
"C04 - Neoplasia maligna do assoalho da boca";"1166";"391";"1557"
"C05 - Neoplasia maligna do palato";"647";"316";"963"
"C06 - Neoplasia maligna de outras partes e de partes não especificadas da boca";"1679";"1031";"2710"
"C07 - Neoplasia maligna da glândula parótida";"746";"591";"1337"
"C08 - Neoplasia maligna de outras glândulas salivares maiores e as não especificadas";"259";"279";"538"
"C09 - Neoplasia maligna da amígdala";"562";"179";"741"
"C10 - Neoplasia maligna da orofaringe";"3809";"809";"4618"
"C11 - Neoplasia maligna da nasofaringe";"869";"388";"1257"
"C12 - Neoplasia maligna do seio piriforme";"208";"28";"236"
"C13 - Neoplasia maligna da hipofaringe";"1112";"163";"1275"
"C14 - Neoplasia maligna de outras localizações e de localizações mal definida, do lábio, cavidade o";"725";"201";"926"
"C15 - Neoplasia maligna do esôfago";"5581";"2223";"7804"
"C16 - Neoplasia maligna do estômago";"9921";"10728";"20649"
"C17 - Neoplasia maligna do intestino delgado";"976";"1047";"2023"
"C18 - Neoplasia maligna do cólon";"11480";"12585";"24065"
"C19 - Neoplasia maligna da junção retossigmóide";"1087";"1099";"2186"
"C20 - Neoplasia maligna do reto";"5851";"5211";"11062"
"C21 - Neoplasia maligna do ânus e do canal anal";"907";"1573";"2480"
"C22 - Neoplasia maligna do fígado e das vias biliares intra-hepáticas";"1693";"1655";"3348"
"C23 - Neoplasia maligna da vesícula biliar";"313";"765";"1078"
"C24 - Neoplasia maligna de outras partes, e de partes não especificadas das vias biliares";"563";"689";"1252"
"C25 - Neoplasia maligna do pâncreas";"2086";"2245";"4331"
"C26 - Neoplasia maligna de outros órgãos digestivos e de localizações mal definidas no aparelho dig";"717";"806";"1523"
"C30 - Neoplasia maligna da cavidade nasal e do ouvido médio";"235";"204";"439"
"C31 - Neoplasia maligna dos seios da face";"487";"372";"859"
"C32 - Neoplasia maligna da laringe";"4519";"885";"5404"
"C33 - Neoplasia maligna da traquéia";"41";"32";"73"
"C34 - Neoplasia maligna dos brônquios e dos pulmões";"6991";"6333";"13324"
"C37 - Neoplasia maligna do timo";"76";"84";"160"
"C38 - Neoplasia maligna do coração, mediastino e pleura";"662";"663";"1325"
"C39 - Neoplasia maligna de outras localizações e de localizações mal definidas do aparelho respirat";"62";"53";"115"
"C40 - Neoplasia maligna dos ossos e cartilagens articulares dos membros";"1062";"1094";"2156"
"C41 - Neoplasia maligna dos ossos e das cartilagens articulares de outras localizações e de localiz";"1062";"903";"1965"
"C43 - Melanoma maligno da pele";"2468";"2499";"4967"
"C44 - Outras neoplasias malignas da pele";"24835";"27681";"52516"
"C45 - Mesotelioma";"14";"16";"30"
"C46 - Sarcoma de Kaposi";"177";"71";"248"
"C47 - Neoplasia maligna dos nervos periféricos e do sistema nervoso autônomo";"46";"45";"91"
"C48 - Neoplasia maligna dos tecidos moles do retroperitônio e do peritônio";"839";"1213";"2052"
"C49 - Neoplasia maligna do tecido conjuntivo e de outros tecidos moles";"5397";"5394";"10791"
"C50 - Neoplasia maligna da mama";"1511";"54690";"56201"
"C51 - Neoplasia maligna da vulva";"5";"1309";"1314"
"C52 - Neoplasia maligna da vagina";"2";"619";"621"
"C53 - Neoplasia maligna do colo do útero";"72";"19781";"19853"
"C54 - Neoplasia maligna do corpo do útero";"19";"7574";"7593"
"C55 - Neoplasia maligna do útero, porção não especificada";"1";"934";"935"
"C56 - Neoplasia maligna do ovário";"5";"7336";"7341"
"C57 - Neoplasia maligna de outros órgãos genitais femininos e dos não especificados";"5";"1223";"1228"
"C58 - Neoplasia maligna da placenta";"9";"254";"263"
"C60 - Neoplasia maligna do pênis";"1074";"10";"1084"
"C61 - Neoplasia maligna da próstata";"37384";"29";"37413"
"C62 - Neoplasia maligna dos testículos";"1902";"2";"1904"
"C63 - Neoplasia maligna de outros órgãos genitais masculinos e dos não especificados";"89";"8";"97"
"C64 - Neoplasia maligna do rim, exceto pelve renal";"2390";"1868";"4258"
"C65 - Neoplasia maligna da pelve renal";"298";"197";"495"
"C66 - Neoplasia maligna dos ureteres";"128";"66";"194"
"C67 - Neoplasia maligna da bexiga";"5233";"2277";"7510"
"C68 - Neoplasia maligna de outros órgãos urinários e dos não especificados";"35";"39";"74"
"C69 - Neoplasia maligna do olho e anexos";"686";"601";"1287"
"C70 - Neoplasia maligna das meninges";"101";"144";"245"
"C71 - Neoplasia maligna do encéfalo";"2725";"2486";"5211"
"C72 - Neoplasia maligna da medula espinhal, dos nervos cranianos e de outras partes do sistema nerv";"675";"656";"1331"
"C73 - Neoplasia maligna da glândula tireóide";"1148";"6813";"7961"
"C74 - Neoplasia maligna da glândula supra-renal [glândula adrenal]";"220";"241";"461"
"C75 - Neoplasia maligna de outras glândulas endócrinas e de estruturas relacionadas";"129";"244";"373"
"C76 - Neoplasia maligna de outras localizações e de localizações mal definidas";"3316";"3833";"7149"
"C77 - Neoplasia maligna secundária e não especificada dos gânglios linfáticos";"4592";"5284";"9876"
"C78 - Neoplasia maligna secundária dos órgãos respiratórios e digestivos";"1557";"1692";"3249"
"C79 - Neoplasia maligna secundária de outras localizações";"7245";"8112";"15357"
"C80 - Neoplasia maligna, sem especificação de localização";"7476";"9574";"17050"
"C81 - Doença de Hodgkin";"1239";"1015";"2254"
"C82 - Linfoma não-Hodgkin, folicular (nodular)";"586";"606";"1192"
"C83 - Linfoma não-Hodgkin difuso";"2509";"2027";"4536"
"C84 - Linfomas de células T cutâneas e periféricas";"368";"305";"673"
"C85 - Linfoma não-Hodgkin de outros tipos e de tipo não especificado";"768";"655";"1423"
"C88 - Doenças imunoproliferativas malignas";"1305";"4457";"5762"
"C90 - Mieloma múltiplo e neoplasias malignas de plasmócitos";"2063";"1789";"3852"
"C91 - Leucemia linfóide";"1944";"1439";"3383"
"C92 - Leucemia mielóide";"1884";"1735";"3619"
"C93 - Leucemia monocítica";"65";"53";"118"
"C94 - Outras leucemias de células de tipo especificado";"131";"100";"231"
"C95 - Leucemia de tipo celular não especificado";"138";"125";"263"
"C96 - Outras neoplasias malignas e as não especificadas dos tecidos linfático, hematopoético e teci";"232";"219";"451"
"C97 - Neoplasias malignas de localizações múltiplas independentes (primárias)";"20";"17";"37"
"D00 - Carcinoma in situ da cavidade oral, do esôfago e do estômago";"880";"1345";"2225"
"D01 - Carcinoma in situ de outros órgãos digestivos";"932";"1279";"2211"
"D02 - Carcinoma in situ do ouvido médio e do aparelho respiratório";"276";"145";"421"
"D03 - Melanoma in situ";"175";"203";"378"
"D04 - Carcinoma in situ da pele";"6183";"8534";"14717"
"D05 - Carcinoma in situ da mama";"103";"2155";"2258"
"D06 - Carcinoma in situ do colo do útero (cérvix)";"28";"8205";"8233"
"D07 - Carcinoma in situ de outros órgãos genitais e dos não especificados";"2180";"1077";"3257"
"D09 - Carcinoma in situ de outras localizações e das não especificadas";"1294";"1868";"3162"
"D37 - Neoplasia de comportamento incerto ou desconhecido da cavidade oral e dos órgãos digestivos";"2913";"4472";"7385"
